ssn,name,union_no,addr,phone,salary,job_title,exam_date,expertise,certifications
280-98-4111,Howard Roberts,UAW0336,459 Sutter St,443-603-7273,100000,Technician,,Boeing-787 Boeing-737 Airbus-A300,
366-12-0802,Janet Bruce,UAW0337,247 Indian Hills Rd,663-674-9905,66000,Traffic Controller,2013-12-23,,
335-24-0319,Joyce Morrison,UAW0338,910 Fellowship Cir,940-835-4270,141000,Pilot,,,Airbus-A300:2018-01-16
730-38-2404,Louis Velazquez,UAW0339,837 Ribe Rd,520-583-2481,52000,Technician,,Boeing-787 Airbus-A300 Boeing-747,
645-05-5631,Steven Sanders,UAW0340,302 Santa Ynez Ct,345-896-6725,91000,Technician,,Boeing-787 Boeing-737 Airbus-A350,
335-12-3800,Anthony Glass,UAW0341,114 St Charles Pl,970-335-1852,107000,Pilot,,,Airbus-A320:2019-12-27 Boeing-737:2019-01-24 Airbus-A330:2017-09-24 Airbus-A300:2017-09-13 Boeing-747:2017-11-01
440-55-1732,Helen Graham,UAW0342,892 San Antonio Blvd,480-782-4606,121000,Pilot,,,Airbus-A380:2017-09-13 Boeing-737:2020-04-17 Airbus-A320:2017-01-28 Boeing-777:2018-04-28 Airbus-A300:2020-04-02
216-32-1778,Stephanie Clarke,UAW0343,649 Stacy Ann Terrace,897-397-6530,144000,Technician,,Boeing-767 Boeing-787,
144-23-1406,Joan Orr,UAW0344,791 Christopher Ln,648-674-0175,58000,Traffic Controller,2010-06-17,,
958-78-2153,Philip Chang,UAW0345,580 E Alvin Ave,173-908-9417,62000,Pilot,,,Airbus-A320:2020-04-14 Boeing-787:2020-10-24 Boeing-737:2019-06-22 Airbus-A380:2017-07-27 Boeing-777:2017-11-05 Airbus-A300:2020-09-20 Boeing-767:2018-10-02
725-10-9360,Zachary Franklin,UAW0346,523 La Pita Pl,500-546-2015,84000,Technician,,Boeing-737 Boeing-777 Airbus-A350,
393-68-3002,Victoria Proctor,UAW0347,707 Via Elsie,308-556-2351,83000,Technician,,Airbus-A300 Boeing-787,
064-41-8924,Kathleen Marsh,UAW0348,650 Rosario Park - Los Padres National Forest,649-164-0375,91000,Technician,,Boeing-747 Boeing-787 Boeing-777 Airbus-A320,
793-48-4076,Jonathan Cantrell,UAW0349,738 Stokes,617-277-3537,128000,Technician,,Airbus-A300 Airbus-A330 Airbus-A350,
506-37-5843,Christopher Parks,UAW0350,792 Madrid Rd,975-716-3214,46000,Technician,,Boeing-737 Boeing-747 Airbus-A300 Airbus-A350,
339-86-7455,Michael Orozco,UAW0351,620 High Meadow Rd,207-035-7805,51000,Technician,,Airbus-A330 Airbus-A380 Airbus-A300 Boeing-787,
049-28-1475,Johnny Hoffman,UAW0352,100 Santa Elena Ln,030-069-5312,59000,Technician,,Airbus-A380 Airbus-A330 Boeing-747,
261-45-8606,Dennis Le,UAW0353,306 Coromar Dr,674-354-3490,48000,Technician,,Boeing-737 Airbus-A300,
141-89-3049,Teresa Davenport,UAW0354,930 Silverado Ave,018-445-3401,56000,Pilot,,,Airbus-A350:2019-08-07 Boeing-767:2017-01-28 Airbus-A320:2017-10-05 Boeing-747:2019-10-24 Boeing-787:2019-10-22
840-29-2325,Wayne Vargas,UAW0355,404 State 1,499-330-6030,70000,Traffic Controller,2015-07-27,,
306-70-2597,James Lynch,UAW0356,806 Skyline Cir,141-702-7913,59000,Technician,,Airbus-A350 Airbus-A380 Boeing-767,
398-87-5698,Dennis Merritt,UAW0357,440 Orion Rd,030-087-6712,65000,Technician,,Airbus-A350 Boeing-767 Airbus-A320,
543-58-3361,Noah Hanson,UAW0358,999 Sunset Valley Rd - Los Padres National Forest,420-197-0967,104000,Technician,,Airbus-A380 Airbus-A300 Airbus-A350 Boeing-777,
280-04-3126,Patricia Curtis,UAW0359,920 Capella St,814-506-0074,125000,Technician,,Airbus-A380,
122-76-2231,Danielle Graves,UAW0360,994 Lemon Grove Ln,350-545-2725,76000,Traffic Controller,2005-08-18,,
637-22-9455,Nancy Wiggins,UAW0361,118 San Pablo Ln,792-455-5640,85000,Traffic Controller,2011-09-05,,
723-24-0510,Walter Dougherty,UAW0362,307 Robbie Cir,450-436-0121,131000,Pilot,,,Airbus-A350:2020-09-20 Airbus-A320:2020-03-22 Airbus-A380:2018-03-08 Airbus-A330:2020-03-27 Boeing-767:2018-11-22 Boeing-737:2019-09-23
333-29-5610,Roy Ewing,UAW0363,970 Helena St,409-950-8793,125000,Pilot,,,Boeing-737:2017-05-09 Boeing-767:2019-11-23 Airbus-A380:2018-02-07 Boeing-777:2017-06-25
956-74-8243,Richard Nelson,UAW0364,236 Calle De Los Vientos,934-905-9226,79000,Traffic Controller,2005-08-01,,
711-80-4945,Jennifer Barron,UAW0365,912 Ross Ln,030-661-6314,78000,Traffic Controller,2008-08-28,,
605-54-0633,Amy Carson,UAW0366,873 Donovan Rd,435-805-6523,148000,Traffic Controller,2015-12-25,,
816-48-3149,Russell Mcdowell,UAW0367,111 Cannon Green Dr,592-487-2215,118000,Traffic Controller,2016-08-14,,
490-47-4237,Katherine Gregory,UAW0368,650 La Pasada,319-441-2026,122000,Pilot,,,Airbus-A330:2020-06-14 Airbus-A380:2018-06-22
897-96-0576,Kevin Escobar,UAW0369,792 Los Carneros Way,713-203-7232,109000,Traffic Controller,2015-08-23,,
305-47-3850,Jonathan Barajas,UAW0370,726 Cresta Ave,622-516-1801,145000,Technician,,Boeing-747 Boeing-787,
183-74-6380,Austin Paul,UAW0371,935 San Jose Ln,112-641-3023,82000,Traffic Controller,2010-09-23,,
548-30-9020,Tyler Rios,UAW0372,995 Hwy 101,966-134-9979,102000,Technician,,Airbus-A350 Airbus-A330,
432-04-3278,Christina Heath,UAW0373,786 Firefox Dr,843-443-5441,136000,Pilot,,,Boeing-737:2017-08-15 Airbus-A320:2019-05-21 Boeing-767:2020-07-04 Boeing-777:2017-01-04 Airbus-A350:2018-11-13 Airbus-A380:2017-08-19
749-71-1611,Patrick Owens,UAW0374,158 Rubel Way,772-724-9979,89000,Traffic Controller,2012-12-20,,
807-25-9996,Debra Fischer,UAW0375,780 Mayten St,679-319-6266,99000,Technician,,Boeing-747 Boeing-767 Boeing-777 Boeing-787,
161-26-9561,Julie Barrera,UAW0376,655 Del Oro Ave,276-522-8780,57000,Technician,,Airbus-A300 Boeing-747,
752-52-1725,Albert Villa,UAW0377,783 Carpinteria Creek Dr,672-879-7685,70000,Technician,,Airbus-A380,
951-87-5078,Anna Byrd,UAW0378,261 El Prado Pl,967-429-2913,65000,Traffic Controller,2016-02-02,,
261-97-6964,Ronald Odom,UAW0379,486 Walnut Pl,697-465-1073,47000,Pilot,,,Airbus-A300:2018-04-07 Airbus-A350:2017-03-15 Boeing-787:2020-04-25 Boeing-777:2018-08-25
620-12-6226,John Terry,UAW0380,473 Melinda Ct,307-353-7848,72000,Technician,,Boeing-787,
372-49-0772,Gabriel Morrow,UAW0381,514 Felicia Dr,897-116-5090,108000,Traffic Controller,2011-03-05,,
050-34-2122,Roger Barnes,UAW0382,867 Colebrook Dr,665-931-9799,74000,Traffic Controller,2009-08-12,,
811-69-6470,Dennis Curry,UAW0383,322 S Palisade Dr,818-124-4873,82000,Traffic Controller,2014-11-08,,
381-73-8982,Susan Holloway,UAW0384,559 Monique Ct,222-314-6703,85000,Technician,,Airbus-A380 Airbus-A350,
965-67-9055,Ann Mcdaniel,UAW0385,837 Fredensborg Way,154-925-9708,140000,Traffic Controller,2000-04-20,,
481-64-7023,Joe Bender,UAW0386,906 Via Airosa,275-353-6188,118000,Pilot,,,Boeing-747:2019-11-24 Boeing-737:2019-12-09 Airbus-A330:2019-08-17 Boeing-767:2019-11-01 Airbus-A350:2017-03-24 Boeing-777:2017-06-17
922-92-2115,Anthony Whitney,UAW0387,857 N Salinas St,856-662-1996,138000,Pilot,,,Boeing-767:2017-10-27 Airbus-A320:2017-04-26
217-38-6304,Christina Mcfarland,UAW0388,262 Pembrook Dr,145-452-2625,99000,Technician,,Airbus-A380,
017-25-0478,Lori Brock,UAW0389,340 Edgemound Dr,274-173-3137,72000,Pilot,,,Boeing-767:2018-01-21 Airbus-A330:2017-03-14 Airbus-A350:2018-09-28 Airbus-A300:2018-12-17 Airbus-A380:2017-05-21 Boeing-787:2019-03-22
408-41-3133,Ronald Knight,UAW0390,950 Sunset Ave,353-329-9582,117000,Traffic Controller,2009-01-13,,
433-57-6166,Nicholas Valentine,UAW0391,965 Los Padres Way,683-409-7622,134000,Technician,,Airbus-A330,
954-34-7249,Louis Bentley,UAW0392,541 Oswego Way,666-869-7150,113000,Technician,,Airbus-A330 Boeing-767 Airbus-A380 Airbus-A350,
173-60-1644,Debra Meadows,UAW0393,349 Margie Ave,709-666-0405,148000,Pilot,,,Airbus-A300:2018-07-08 Boeing-747:2020-12-17 Boeing-737:2017-04-05 Airbus-A350:2018-09-28 Airbus-A320:2020-02-07 Boeing-777:2020-11-18
540-42-7099,Thomas Richmond,UAW0394,662 Sage Ct,616-065-4747,138000,Pilot,,,Boeing-747:2019-04-17 Boeing-737:2018-01-03 Airbus-A350:2020-11-27 Airbus-A380:2017-03-27 Boeing-787:2020-10-01 Airbus-A300:2018-05-22 Airbus-A320:2019-08-17
144-67-0513,Kenneth Howe,UAW0395,895 Los Robles Ln,357-220-4647,125000,Traffic Controller,2014-01-02,,
293-78-1980,Amanda Jacobson,UAW0396,232 Porto Rd,261-470-7602,138000,Pilot,,,Airbus-A300:2019-02-05 Airbus-A330:2017-07-15 Boeing-777:2018-12-07
179-25-8356,Theresa Fuentes,UAW0397,664 Torero Rd,591-848-7191,126000,Pilot,,,Boeing-747:2018-07-01 Airbus-A380:2020-05-13 Boeing-737:2018-12-28 Boeing-767:2020-12-18 Airbus-A300:2020-12-03
460-85-7714,Eric Charles,UAW0398,241 Somerset Ct,378-675-7124,54000,Traffic Controller,2012-07-28,,
413-35-5143,Harold Mcfarland,UAW0399,345 Loma St,160-636-9821,62000,Technician,,Airbus-A300 Boeing-737,
187-43-1690,Denise Blair,UAW0400,834 Theresa St,108-226-6109,50000,Technician,,Airbus-A350,
479-86-0484,Linda Sparks,UAW0401,814 Redbud Ct,056-852-7825,87000,Technician,,Airbus-A300 Boeing-767 Airbus-A380 Airbus-A320 Boeing-747,
237-62-9558,Debra Roberson,UAW0402,112 Tall Pine Ln,952-828-5848,112000,Technician,,Airbus-A350 Airbus-A330,
162-92-6896,Zachary Lara,UAW0403,669 Penelope Ln,831-891-0887,52000,Pilot,,,Airbus-A300:2019-12-17 Airbus-A350:2019-11-09 Airbus-A380:2017-06-01 Boeing-737:2017-01-12 Boeing-787:2017-03-13
085-65-5645,Sean Horne,UAW0404,499 Cima Del Mundo Rd,560-483-0459,90000,Pilot,,,Boeing-747:2017-03-22
132-77-4219,Christina Mathis,UAW0405,899 Balboa Ct,398-271-6638,109000,Traffic Controller,2007-04-22,,
606-94-9971,Larry Aguilar,UAW0406,580 Glen Albyn Dr,801-628-5588,100000,Technician,,Airbus-A350 Boeing-747,
685-89-7272,Jerry Little,UAW0407,452 Medinah Ln,962-752-1759,59000,Pilot,,,Boeing-777:2018-05-07 Boeing-787:2019-09-14 Airbus-A380:2017-12-02 Airbus-A320:2019-04-16 Airbus-A330:2020-07-24 Boeing-767:2020-02-25
377-78-5448,Joan Park,UAW0408,436 Bolton Walk - University Of California Santa Barbara,351-742-5951,137000,Traffic Controller,2002-05-11,,
749-45-9596,Diane Sanchez,UAW0409,943 Santa Rosa Ln,624-402-0392,51000,Pilot,,,Airbus-A320:2017-06-12 Boeing-767:2018-12-11 Boeing-737:2017-08-07 Airbus-A380:2019-06-21 Boeing-777:2017-02-11 Boeing-787:2017-08-04
799-11-8314,Nathan Briggs,UAW0410,957 De La Vina St,155-214-9826,83000,Traffic Controller,2010-10-10,,
575-61-6621,Joseph Kirby,UAW0411,655 Newton Rd,359-182-2843,74000,Pilot,,,Airbus-A330:2018-03-07 Airbus-A380:2018-04-06 Boeing-747:2019-02-14 Boeing-737:2019-08-16 Boeing-787:2017-08-24 Airbus-A320:2017-07-06 Boeing-767:2019-08-03 Boeing-777:2017-10-04 Airbus-A350:2020-11-23
269-79-9013,Eugene Herman,UAW0412,841 Garden Ln,700-635-3733,95000,Pilot,,,Boeing-787:2019-03-05 Boeing-777:2018-02-10 Boeing-767:2019-10-20 Airbus-A300:2019-03-14 Airbus-A330:2018-04-25 Boeing-737:2017-12-26 Airbus-A380:2020-07-15
288-94-2615,Christian Mills,UAW0413,832 Via Trento,362-743-8372,47000,Traffic Controller,2016-12-01,,
592-61-7492,Randy Bridges,UAW0414,700 Avena St,669-401-5601,103000,Pilot,,,Boeing-767:2017-05-05 Airbus-A350:2020-10-03 Boeing-787:2018-08-28
704-25-7539,Denise Pacheco,UAW0415,201 Old Calzada Rd,016-138-1261,74000,Technician,,Boeing-777,
969-63-8233,Doris Ashley,UAW0416,855 Glenn Rd - Los Padres National Forest,350-786-2730,109000,Traffic Controller,2016-08-02,,
067-85-1343,Thomas Randall,UAW0417,906 Arden Way,997-998-5947,86000,Technician,,Airbus-A380 Boeing-777,
101-93-9923,Brenda Vance,UAW0418,189 Monroe St,539-611-0859,60000,Technician,,Boeing-777 Airbus-A320,
231-80-3440,Teresa Arias,UAW0419,499 Cleveland Ave,982-984-5825,101000,Pilot,,,Boeing-747:2020-11-09
251-27-9900,Anna Acosta,UAW0420,363 Ferrara Way,795-578-5293,93000,Traffic Controller,2001-06-04,,
179-16-7307,Jessica Mcintyre,UAW0421,243 Zink Ave,729-199-5144,96000,Technician,,Boeing-777 Boeing-747 Boeing-787 Airbus-A320,
819-29-4313,Albert Park,UAW0422,230 Clinton Ct,376-281-7286,59000,Traffic Controller,2013-08-09,,
872-00-1843,Carol Anderson,UAW0423,849 San Anzio Way,809-551-5568,75000,Pilot,,,Boeing-777:2017-07-08 Airbus-A320:2017-09-14 Airbus-A350:2018-09-09 Boeing-737:2017-03-24 Airbus-A330:2017-07-09 Airbus-A380:2019-11-25 Boeing-747:2020-01-03 Airbus-A300:2018-12-12 Boeing-787:2017-10-04
839-90-8643,Paul Sutton,UAW0424,107 Stag Canyon Rd,396-215-1736,119000,Pilot,,,Airbus-A350:2017-06-24 Boeing-737:2019-02-02 Airbus-A330:2017-03-22 Airbus-A380:2017-03-02 Boeing-787:2020-01-18 Boeing-747:2017-02-26 Boeing-777:2017-10-06
695-46-2254,Marie Zavala,UAW0425,964 W College Ave,918-171-9167,87000,Technician,,Airbus-A380 Boeing-767 Airbus-A330 Boeing-747,
944-15-4702,Nicholas Summers,UAW0426,956 Auriga Ave,607-953-5742,53000,Traffic Controller,2007-02-23,,
313-22-1986,Joseph Kent,UAW0427,687 Breezy Glen Dr,533-338-5737,128000,Traffic Controller,2016-09-10,,
364-88-7233,Steven Skinner,UAW0428,279 Frederic Lopez Rd,829-223-8843,118000,Pilot,,,Boeing-747:2019-02-07
867-26-4586,Bryan Hale,UAW0429,431 De La Cresta,011-206-8715,145000,Traffic Controller,2016-04-11,,
647-54-5755,Roger Clayton,UAW0430,834 Weldon Rd,599-531-9723,137000,Pilot,,,Airbus-A320:2019-02-17 Airbus-A380:2019-05-05 Boeing-737:2018-08-14 Airbus-A300:2017-02-12 Boeing-747:2017-12-25 Airbus-A350:2017-01-21
351-73-1830,Jennifer Brady,UAW0431,393 San Rossano Dr,708-959-8922,139000,Pilot,,,Airbus-A300:2020-02-16 Airbus-A320:2019-04-15 Airbus-A330:2017-11-20 Airbus-A380:2020-11-26 Boeing-787:2020-02-23
144-58-1040,Hannah Juarez,UAW0432,267 Alta St,050-708-2271,130000,Pilot,,,Boeing-787:2017-08-02
142-52-0378,Daniel Gilmore,UAW0433,811 Lolland Flaster Rd,059-234-9212,130000,Traffic Controller,2008-03-25,,
370-47-3865,Amanda Mclean,UAW0434,933 Glen Oak Ct,947-901-5610,120000,Technician,,Boeing-747 Airbus-A320,
566-31-5358,Kimberly Cain,UAW0435,892 Bregante Ln,053-905-3570,100000,Technician,,Airbus-A380 Airbus-A330,
506-48-0307,Carl French,UAW0436,676 Astoria Pl,235-099-6477,49000,Technician,,Boeing-747,
862-88-5295,Gloria Aguirre,UAW0437,380 Balboa Ct,010-644-4607,111000,Technician,,Airbus-A350 Boeing-777 Boeing-747 Boeing-787,
192-80-4760,Gloria Fields,UAW0438,212 Palermo Dr,071-686-3973,131000,Traffic Controller,2006-02-28,,
852-37-7479,Jane Johnson,UAW0439,629 State Route 144,163-565-7919,137000,Technician,,Airbus-A350 Airbus-A330 Airbus-A320 Boeing-737,
672-28-1014,Christina Vaughan,UAW0440,693 Augusta Ct,400-935-8275,56000,Pilot,,,Airbus-A380:2019-05-22 Airbus-A320:2017-06-13 Boeing-767:2019-12-20 Boeing-747:2018-12-01 Airbus-A330:2017-04-26 Airbus-A350:2017-03-27 Boeing-787:2019-11-10
399-42-1336,Frances Graves,UAW0441,522 San Nicolas Ave,027-904-9347,89000,Traffic Controller,2009-12-15,,
250-53-9833,Lauren Rollins,UAW0442,773 Moss Ct,134-628-0086,125000,Traffic Controller,2003-02-28,,
317-92-2083,Jose Barton,UAW0443,525 Via Hielo,178-339-5819,69000,Pilot,,,Airbus-A350:2018-06-05 Airbus-A300:2020-01-18 Boeing-787:2017-08-12
413-67-1601,Stephanie Pope,UAW0444,324 W Mill St,318-786-9913,72000,Pilot,,,Boeing-777:2018-02-19 Boeing-767:2017-12-11 Airbus-A320:2018-10-02 Airbus-A380:2017-11-21 Boeing-787:2020-03-21
276-34-8323,Albert Mcgrath,UAW0445,436 Temple St,556-504-2048,51000,Pilot,,,Airbus-A300:2020-12-04
064-17-0133,Laura Hudson,UAW0446,526 Santa Elena Ln,931-380-2258,137000,Traffic Controller,2014-09-03,,
018-25-3759,Jennifer Espinoza,UAW0447,671 Las Armas Rd,698-464-7391,60000,Traffic Controller,2009-07-21,,
864-33-7156,Deborah Mendez,UAW0448,964 Dos Hermanos Rd,093-105-1402,101000,Pilot,,,Boeing-737:2017-09-19
401-92-6031,Sharon Leach,UAW0449,483 Radcliff Ln,777-272-4960,57000,Technician,,Boeing-787 Airbus-A330,
322-87-0151,Jessica Padilla,UAW0450,996 Miracanon Ln,230-472-6191,96000,Pilot,,,Airbus-A320:2018-04-10 Airbus-A350:2019-12-12 Boeing-737:2020-12-19 Airbus-A330:2018-12-03 Boeing-767:2017-12-27 Airbus-A300:2017-12-16 Boeing-787:2020-08-13 Airbus-A380:2017-07-10
146-54-6552,Ruth Bowers,UAW0451,962 Dos Hermanos Rd,704-363-7185,134000,Traffic Controller,2007-07-23,,
217-06-1429,Daniel Avery,UAW0452,356 Alhambra Ave,748-927-9756,140000,Traffic Controller,2004-06-27,,
944-55-7116,Patricia Macdonald,UAW0453,909 Pebble Hill Ln,261-043-8300,116000,Traffic Controller,2016-05-25,,
054-93-7993,Martha Shields,UAW0454,180 Murray Dr,548-673-8203,62000,Technician,,Boeing-767 Airbus-A300 Boeing-737,
274-94-9994,Nancy Kent,UAW0455,538 La Flecha Ln,407-822-0314,147000,Technician,,Airbus-A300 Airbus-A350 Boeing-767,
878-90-2408,Mildred Huang,UAW0456,322 Avenida Gorrion Ct,848-530-3527,94000,Traffic Controller,2016-04-10,,
813-27-8903,Christina Melendez,UAW0457,566 Cotar Rd,928-984-1715,77000,Technician,,Boeing-737 Airbus-A350 Airbus-A330 Airbus-A380,
223-36-1674,Lauren Li,UAW0458,881 Cameron Dr,660-419-9125,124000,Pilot,,,Boeing-747:2020-09-11 Airbus-A320:2019-12-27 Boeing-777:2019-01-08 Boeing-787:2017-11-23 Boeing-737:2018-02-24 Airbus-A300:2017-10-13 Airbus-A330:2019-11-12 Airbus-A350:2020-08-02
115-48-1135,Donald Camacho,UAW0459,599 Portofino Way,259-809-7681,87000,Traffic Controller,2010-02-20,,
624-04-2330,Noah Hood,UAW0460,267 San Rossano Dr,035-313-8314,132000,Traffic Controller,2009-12-16,,
720-71-5697,Maria Young,UAW0461,572 Aspen St,059-875-7685,136000,Pilot,,,Airbus-A330:2019-05-12
554-76-0511,Jerry Nielsen,UAW0462,343 El Sueno Rd,643-810-1995,46000,Pilot,,,Airbus-A380:2017-01-27 Boeing-777:2019-12-28
645-83-9866,Nicole Dodson,UAW0463,527 Cachuma Creek,767-623-1869,60000,Technician,,Airbus-A380 Airbus-A320 Airbus-A330,
966-14-2727,Lori Lucas,UAW0464,546 Via Reposa,699-281-3090,130000,Traffic Controller,2010-05-11,,
537-07-3036,Adam Roberson,UAW0465,674 Via Del Florista,762-835-7204,57000,Pilot,,,Boeing-747:2018-08-04 Boeing-767:2020-11-04 Airbus-A350:2020-09-15 Airbus-A380:2020-03-17
911-10-9380,Samantha Boone,UAW0466,302 Butterfly Ct,703-035-1495,60000,Traffic Controller,2010-04-28,,
672-57-1866,Nicholas Floyd,UAW0467,206 Cate Mesa Rd,324-786-1350,102000,Pilot,,,Boeing-767:2017-12-15 Boeing-777:2017-10-14 Airbus-A380:2019-06-09 Airbus-A320:2018-09-27 Airbus-A330:2018-07-17 Boeing-747:2019-11-06 Airbus-A350:2017-10-03 Boeing-737:2020-08-03
879-96-2051,Evelyn Gibson,UAW0468,719 Del Rey Ln,314-719-0686,84000,Technician,,Airbus-A330 Boeing-767,
263-33-2238,Ryan Richard,UAW0469,770 Mariana Way,252-797-1673,137000,Technician,,Airbus-A320 Airbus-A330 Airbus-A300 Boeing-737,
248-75-1432,Janice Sandoval,UAW0470,324 Miramonte Ave,898-179-2634,78000,Pilot,,,Airbus-A330:2018-12-06 Airbus-A300:2018-01-08 Airbus-A380:2017-02-22 Boeing-767:2018-12-23
364-84-5275,Kenneth Bates,UAW0471,126 Freedom Pl,588-095-6370,145000,Traffic Controller,2001-01-14,,
494-48-1864,Marie Atkinson,UAW0472,244 9th St,683-821-5293,107000,Technician,,Airbus-A350 Boeing-787,
870-35-5479,Larry Li,UAW0473,187 Tollis Ave,232-252-2306,57000,Technician,,Boeing-777 Airbus-A350 Airbus-A320,
967-17-6432,Gabriel Schultz,UAW0474,293 Oak Valley Ct,324-372-9092,133000,Traffic Controller,2000-10-21,,
956-83-1061,William Poole,UAW0475,248 Vallecito Rd,945-182-9980,61000,Technician,,Boeing-767 Airbus-A330 Airbus-A350,
202-22-8709,Ruth Hayes,UAW0476,390 Oak Pointe Dr,988-854-4447,52000,Traffic Controller,2004-12-10,,
378-32-5403,Joseph Newman,UAW0477,312 Mayfield St,896-540-0202,62000,Pilot,,,Airbus-A350:2020-02-20 Airbus-A320:2018-08-12 Boeing-787:2020-02-06 Airbus-A380:2020-12-11 Boeing-747:2020-04-06 Airbus-A330:2018-01-13 Boeing-737:2019-01-15 Boeing-767:2020-02-07 Airbus-A300:2017-12-06
413-15-9105,Zachary Jacobs,UAW0478,489 Ocean View Blvd,427-727-4618,149000,Traffic Controller,2012-01-15,,
642-63-7198,Daniel Frost,UAW0479,158 Andromeda Dr,993-730-9020,65000,Traffic Controller,2013-04-23,,
703-80-0522,Lori Mccullough,UAW0480,121 Crestwood Ct,927-419-0484,124000,Traffic Controller,2010-12-03,,
507-75-5324,Kayla Chen,UAW0481,263 Burning Tree Way,654-913-3185,109000,Technician,,Boeing-747 Airbus-A380 Airbus-A320 Airbus-A350,
988-70-6225,Paul Stout,UAW0482,160 Meadow View Ln,595-158-2505,68000,Traffic Controller,2004-02-12,,
610-66-5787,Martha Carlson,UAW0483,903 E Islay St,376-237-0649,110000,Technician,,Boeing-777,
386-21-0089,Anna Parrish,UAW0484,302 St Charles Pl,713-437-4740,140000,Technician,,Boeing-737 Airbus-A330 Airbus-A300,
719-05-9171,Sharon Cameron,UAW0485,711 S Smith St,851-630-9301,146000,Pilot,,,Airbus-A300:2017-03-09 Airbus-A320:2019-12-11 Airbus-A330:2017-01-23 Boeing-767:2020-09-14 Boeing-777:2020-08-04 Boeing-737:2018-09-23
189-67-8745,Victoria Fritz,UAW0486,580 Arborea Ct,170-132-9589,87000,Technician,,Airbus-A380 Boeing-787,
564-89-7212,Ruth Tapia,UAW0487,635 Drake Dr,509-271-6683,141000,Pilot,,,Airbus-A300:2020-04-21 Airbus-A320:2018-07-08 Airbus-A380:2020-07-12 Boeing-787:2020-08-26
341-30-6841,Janet Hardin,UAW0488,607 Cain Dr,713-063-0364,120000,Technician,,Airbus-A330 Boeing-737,
258-01-1218,Daniel Kelley,UAW0489,105 Ribe Rd,596-320-6642,144000,Traffic Controller,2003-07-14,,
709-73-8605,Marilyn Galvan,UAW0490,878 W Prune Ave,624-997-6226,45000,Pilot,,,Airbus-A320:2019-07-17 Airbus-A380:2020-03-18 Airbus-A350:2019-07-10 Airbus-A300:2018-05-27 Boeing-787:2020-10-16 Boeing-767:2017-12-17 Boeing-737:2017-03-17 Boeing-747:2020-06-25
117-56-7220,Carol Esparza,UAW0491,254 Duke Dr,506-629-4796,91000,Traffic Controller,2003-03-09,,
492-79-2478,Carol Walsh,UAW0492,799 Vhf Rd,124-624-5807,108000,Pilot,,,Airbus-A330:2020-08-01 Boeing-767:2019-10-03 Boeing-747:2018-03-07 Airbus-A300:2018-09-24 Airbus-A380:2018-12-13 Boeing-737:2020-05-21
377-89-4720,Jacqueline Avery,UAW0493,900 Sierra Madre Dr,363-447-7464,141000,Technician,,Airbus-A300 Boeing-777 Airbus-A330,
176-39-8972,Mildred Archer,UAW0494,551 Sagunto St,161-118-3551,52000,Pilot,,,Boeing-787:2020-05-08 Airbus-A350:2018-03-21 Boeing-737:2018-09-08 Airbus-A330:2019-10-14 Boeing-767:2019-04-23 Airbus-A300:2017-08-20
049-60-4750,Billy Rubio,UAW0495,271 San Lorenzo Dr,905-003-5903,124000,Traffic Controller,2002-03-12,,
081-88-8298,Larry Bell,UAW0496,810 Tognazzini Ave,271-830-7208,71000,Traffic Controller,2006-12-03,,
554-53-8430,Margaret Haney,UAW0497,190 Mockernut St,492-444-3811,139000,Technician,,Boeing-737,
617-20-1575,Theresa Floyd,UAW0498,332 Oak Knoll Rd,458-314-0287,54000,Technician,,Airbus-A300 Airbus-A330 Boeing-737 Airbus-A350,
164-48-9751,Timothy Sampson,UAW0499,113 Stokes,572-144-2560,52000,Technician,,Boeing-737 Airbus-A330 Airbus-A350,
841-14-1618,Jennifer Rodriguez,UAW0500,521 Glen Albyn Dr,495-810-5837,45000,Traffic Controller,2009-12-25,,
065-64-9304,Arthur Moon,UAW0501,554 Via Messina,161-491-1273,135000,Traffic Controller,2009-03-24,,
381-54-6497,Ralph Faulkner,UAW0502,584 Bison Ln,726-445-1371,120000,Traffic Controller,2011-02-06,,
311-81-3186,Kevin Best,UAW0503,466 Via Esmeralda,408-148-9154,50000,Technician,,Boeing-777,
686-38-5127,Brian Combs,UAW0504,937 El Faro,921-298-8311,79000,Pilot,,,Boeing-777:2020-12-12 Airbus-A330:2018-02-18 Airbus-A320:2019-07-06 Airbus-A300:2017-09-07 Boeing-747:2018-02-22 Boeing-787:2018-12-20
352-96-3291,Johnny Higgins,UAW0505,423 E Rice Ranch Rd,650-251-4901,112000,Traffic Controller,2012-09-02,,
290-55-8534,David Huang,UAW0506,568 Potrero Ln - Los Padres National Forest,701-757-3325,71000,Pilot,,,Boeing-777:2019-06-14
894-78-9568,Helen Sanchez,UAW0507,923 Paseo Del Pinon,568-752-7299,65000,Traffic Controller,2001-12-07,,
641-12-9969,Samuel Pitts,UAW0508,874 Bodger Rd,303-768-8232,56000,Technician,,Boeing-767 Airbus-A320,
674-52-6003,Elizabeth Petty,UAW0509,945 23rd St,866-292-8104,99000,Pilot,,,Airbus-A300:2019-03-01 Boeing-747:2019-05-22 Boeing-767:2019-11-16 Airbus-A350:2017-06-27
567-92-5622,Kelly Clayton,UAW0510,983 Altair Pl,629-366-1374,99000,Traffic Controller,2004-01-19,,
